Resultados para a variável: Va
Va : Size=576, Index=i*t
    Key      : Lower               : Value                  : Upper              : Fixed : Stale : Domain
     (3, 15) : -1.5707963267948966 :    -0.1009616745979986 : 1.5707963267948966 : False : False :  Reals
     (3, 16) : -1.5707963267948966 :   -0.10124773456876476 : 1.5707963267948966 : False : False :  Reals
     (3, 17) : -1.5707963267948966 :   -0.10656669523634855 : 1.5707963267948966 : False : False :  Reals
     (3, 18) : -1.5707963267948966 :   -0.11441456657493233 : 1.5707963267948966 : False : False :  Reals
     (3, 19) : -1.5707963267948966 :   -0.11565564928044604 : 1.5707963267948966 : False : False :  Reals
     (3, 20) : -1.5707963267948966 :   -0.11228798420309695 : 1.5707963267948966 : False : False :  Reals
     (3, 21) : -1.5707963267948966 :    -0.1078269570078075 : 1.5707963267948966 : False : False :  Reals
     (3, 22) : -1.5707963267948966 :   -0.10026578523543093 : 1.5707963267948966 : False : False :  Reals
     (3, 23) : -1.5707963267948966 :   -0.09390974933220424 : 1.5707963267948966 : False : False :  Reals
     (3, 24) : -1.5707963267948966 :   -0.09271869556051415 : 1.5707963267948966 : False : False :  Reals
      (4, 1) : -1.5707963267948966 :    0.08668774523460619 : 1.5707963267948966 : False : False :  Reals
      (4, 2) : -1.5707963267948966 :    0.07830143700779366 : 1.5707963267948966 : False : False :  Reals
      (4, 3) : -1.5707963267948966 :    0.07183618361064317 : 1.5707963267948966 : False : False :  Reals
      (4, 4) : -1.5707963267948966 :    0.06905202023930948 : 1.5707963267948966 : False : False :  Reals
      (4, 5) : -1.5707963267948966 :    0.06676876119968422 : 1.5707963267948966 : False : False :  Reals
      (4, 6) : -1.5707963267948966 :    0.06868935656263787 : 1.5707963267948966 : False : False :  Reals
      (4, 7) : -1.5707963267948966 :    0.07469816521955061 : 1.5707963267948966 : False : False :  Reals
      (4, 8) : -1.5707963267948966 :    0.07987774179467791 : 1.5707963267948966 : False : False :  Reals
      (4, 9) : -1.5707963267948966 :    0.09112071741404303 : 1.5707963267948966 : False : False :  Reals
     (4, 10) : -1.5707963267948966 :    0.10779131306901135 : 1.5707963267948966 : False : False :  Reals
     (4, 11) : -1.5707963267948966 :    0.11880926336601244 : 1.5707963267948966 : False : False :  Reals
     (4, 12) : -1.5707963267948966 :    0.12177810668426294 : 1.5707963267948966 : False : False :  Reals
     (4, 13) : -1.5707963267948966 :    0.12572768245518715 : 1.5707963267948966 : False : False :  Reals
     (4, 14) : -1.5707963267948966 :    0.11774631819373207 : 1.5707963267948966 : False : False :  Reals
     (4, 15) : -1.5707963267948966 :     0.1139395908134156 : 1.5707963267948966 : False : False :  Reals
     (4, 16) : -1.5707963267948966 :    0.11452104330766986 : 1.5707963267948966 : False : False :  Reals
     (4, 17) : -1.5707963267948966 :    0.12634995709388966 : 1.5707963267948966 : False : False :  Reals
     (4, 18) : -1.5707963267948966 :    0.15130541604575945 : 1.5707963267948966 : False : False :  Reals
     (4, 19) : -1.5707963267948966 :     0.1490212610513967 : 1.5707963267948966 : False : False :  Reals
     (4, 20) : -1.5707963267948966 :    0.14033591540227483 : 1.5707963267948966 : False : False :  Reals
     (4, 21) : -1.5707963267948966 :    0.12943829913282764 : 1.5707963267948966 : False : False :  Reals
     (4, 22) : -1.5707963267948966 :    0.11241270939364068 : 1.5707963267948966 : False : False :  Reals
     (4, 23) : -1.5707963267948966 :    0.09921124963554535 : 1.5707963267948966 : False : False :  Reals
     (4, 24) : -1.5707963267948966 :    0.09671025356715514 : 1.5707963267948966 : False : False :  Reals
