variable,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Bid,value,256.4268508212757,260.9822864955436,295.3936954503188,260.9822864955354,276.8601385655437,283.1300000000005,297.8948929262622,297.8948929262701,297.8948929263558,297.8948929262809,310.7882569111787,314.4895969422978,311.45,310.7882569111595,339.3629350316117,313.8116358463758,313.8116358463728,310.78825691118,314.4895969423179,321.1869235530758,297.8948929263099,295.3936954503259,295.3936954502954,297.4079943100979
Block_Dispatch_d,1,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.01399999999999999,0.01399998721761132,0.01399999999999999,0.014,0.014,0.01399998473231869,0.014,0.014,0.01399999999999999,0.014,0.014,0.01399998266175561,0.01399998493697606,0.01399999999999999,0.014,0.01399998193055656,0.014
Block_Dispatch_d,1,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.01399998032273894,0.014,0.014,0.014,0.01399997740481058,0.014,0.014,0.014,0.014,0.014,0.01399997521570708,0.01399997680465456,0.014,0.014,0.01399997355934571,0.014
Block_Dispatch_d,1,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.01399996711516982,0.014,0.014,0.014,0.01399996372447882,0.014,0.014,0.014,0.014,0.014,0.01399996204842269,0.01399996067615823,0.014,0.014,0.01399995890248683,0.014
Block_Dispatch_d,1,0.014,0.01399943358224912,0.007622358482071149,0.014,0.014,0.014,0.014,0.014,0.01399992999486408,0.014,0.014,0.014,0.01399992732754268,0.014,0.014,0.014,0.014,0.014,0.01399992962534867,0.01399991325518797,0.014,0.014,0.01399992124814156,0.014
Block_Dispatch_d,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0002184678151345002,0.01022592326895699,0.01398820902554521,0.01094262997710654,0.01343388160657705,0.007365878429217795,0.01397802374404401,0.005585848939840279,0.01399867826193407,0.01033023102375339,0.01139921996139597,0.01114125871043352,0.00892991042863124,0.01399378559419447,0.01289863556760265,0.004559690020932395,3.988620806919669e-07,0.00789774199517198
Block_Dispatch_d,2,0.011,0.01099997861240463,0.011,0.01099983329717629,0.01099998872318364,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01099982711434074,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01099999999999999
Block_Dispatch_d,2,0.011,0.01099996881585802,0.011,0.01099983329717629,0.01099998409983644,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01099982711434074,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Block_Dispatch_d,2,0.011,0.01099995444292356,0.011,0.01099983329717629,0.01099997671983022,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01099982711434074,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Block_Dispatch_d,2,0.011,0.01099993441265357,0.011,0.011,0.01099996245716303,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01099982711434074,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Block_Dispatch_d,2,0.01099949902868875,0.004269908736291724,0.0,0.01099983329717629,0.01099990701115527,0.011,0.01099981817993763,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01099985777291295,0.01099982711434074,0.011,0.01099681756494006,0.011,0.011,0.011,0.011,0.01099967942345699,0.01099983047966691
