index0,index1,Trans_Flow.val
1,1,0.1020101226493534
1,2,0.03293955990486237
1,3,0.0292042760389403
1,4,0.04011683002325989
1,5,0.0457134077895923
1,6,0.0898928296159815
1,7,0.09125516179306606
1,8,0.09858884886112917
1,9,0.1103769114344143
1,10,0.1018205875163022
1,11,0.1732365941967726
1,12,0.1762569229355027
1,13,0.1693833437689679
1,14,0.1746332164445731
1,15,0.1666953262878239
1,16,0.1746124508063733
1,17,0.1679684500965608
1,18,0.1717429589467222
1,19,0.1718633509833164
1,20,0.1681134062106583
1,21,0.1333908189743279
1,22,0.08421590575860888
1,23,0.06743633981786444
1,24,0.02250299763632334
2,1,0.09798987735064657
2,2,0.06706044009516036
2,3,0.07079572396108244
2,4,0.05988316997676285
2,5,0.09589623862807706
2,6,0.1101071703840635
2,7,0.1087448382069794
2,8,0.1014111511388708
2,9,0.1010002050103539
2,10,0.09817941248369781
2,11,0.1267634058032274
2,12,0.1237430770645656
2,13,0.1306166562311
2,14,0.1253667835554951
2,15,0.1333046737122434
2,16,0.125387549193694
2,17,0.1320315499035075
2,18,0.1282570410533451
2,19,0.1281366490167515
2,20,0.1318865937893416
2,21,0.1270820741795555
2,22,0.1157840942414369
2,23,0.1114156314605747
2,24,0.0774970023636994
3,1,0.09584035693155979
3,2,0.06421549970985008
3,3,0.08440222594686986
3,4,0.0691136287989095
3,5,0.119402429253649
3,6,0.1423668863486224
3,7,0.1436701765724598
3,8,0.1632587524789445
3,9,0.1759976605342242
3,10,0.1684002851687909
3,11,0.1966990200578886
3,12,0.2028674531044553
3,13,0.217585032423398
3,14,0.2017454243961769
3,15,0.277882208533739
3,16,0.2212634411509136
3,17,0.2341498193119421
3,18,0.2244428651872612
3,19,0.2254135732803559
3,20,0.2194137665255038
3,21,0.1884846316703134
3,22,0.1503295189021059
3,23,0.1403641515601364
3,24,0.1111164618895134
4,1,0.1457490704840379
4,2,0.1223031170200539
4,3,0.1371374760346881
4,4,0.1142790949798028
4,5,0.1646985129004016
4,6,0.1762086891030173
4,7,0.1697988178042197
4,8,0.1651066190150457
4,9,0.1643542895708431
4,10,0.1575919885848806
4,11,0.1796662010551101
4,12,0.1727401382322495
4,13,0.1844773092347856
4,14,0.1696031590417016
4,15,0.1918804636399343
4,16,0.1739006736883546
4,17,0.1917317248533925
4,18,0.1805545273034422
4,19,0.1864096090865273
4,20,0.1912532511791813
4,21,0.19048684599789
4,22,0.1837353951617418
4,23,0.181154772718532
4,24,0.1473577576977748
5,1,0.09098069523306859
5,2,0.07481094317491295
5,3,0.08087336817952456
5,4,0.06316211984783127
5,5,0.1074524656354735
5,6,0.1106472541642737
5,7,0.1084361674165457
5,8,0.09653347689728972
5,9,0.09199496132927903
5,10,0.09128831376250493
5,11,0.1036513730833264
5,12,0.09874933159872906
5,13,0.1099052596904457
5,14,0.1013846330066266
5,15,0.1142679547292859
5,16,0.1014183359670371
5,17,0.1122016545793927
5,18,0.1060755668027407
5,19,0.1058801686163643
5,20,0.1119663885052342
5,21,0.1176193413060564
5,22,0.119860991694693
5,23,0.1199674155391278
5,24,0.09174964939647035
6,1,0.0393203569315598
6,2,0.05175549971009109
6,3,0.04368222594711085
6,4,0.03781362879915053
6,5,0.03158242925366265
6,6,0.01686688634863603
6,7,0.00875017657247347
6,8,-0.01876124752104182
6,9,-0.03428233946576223
6,10,-0.03245971483119554
6,11,-0.04245898632300288
6,12,-0.0567393353094707
6,13,-0.06167496757634741
6,14,-0.05867457560356842
6,15,-0.1238377914660064
6,16,-0.0768365588488317
6,17,-0.07337018068780335
6,18,-0.07365713481248418
6,19,-0.06874456427629981
6,20,-0.05680623347448254
6,21,-0.02179536832967303
6,22,0.01540951890234697
6,23,0.02428415156037744
6,24,0.02329646188975436
7,1,-0.2345939876634535
7,2,-0.2031906624013783
7,3,-0.2402711592348722
7,4,-0.2176931994228908
7,5,-0.2459227516006339
7,6,-0.280925469213016
7,7,-0.2632164988090961
7,8,-0.2927180721953596
7,9,-0.3083083462644504
7,10,-0.2829115989136011
7,11,-0.3242898080798448
7,12,-0.3155309283952314
7,13,-0.3186110807243568
7,14,-0.2915143437435427
7,15,-0.3315946658908812
7,16,-0.3093694259506595
7,17,-0.3395040139607063
7,18,-0.3179993991565511
7,19,-0.3433222169347695
7,20,-0.3384720402400015
7,21,-0.3119209123735663
7,22,-0.2743955269305414
7,23,-0.2631506842029925
7,24,-0.2381546141109804
8,1,0.08303207785633981
8,2,0.0373633113609598
8,3,0.05003437544214542
8,4,0.038695538228048
8,5,0.05737515119498107
8,6,0.06543045620590057
8,7,0.02274417292166553
8,8,0.008878242570122569
8,9,0.008444164475516547
8,10,0.001317146039777617
8,11,0.01705823261265629
8,12,0.01320429077324775
8,13,-0.01486933349834141
8,14,-0.0244452643750368
8,15,-0.02319070553968183
8,16,-0.02494684772632094
8,17,-0.01352726308286728
8,18,-0.02232689632415685
8,19,0.01977158161334541
8,20,0.02127864274040295
8,21,0.03527882406624566
8,22,0.0681750402398969
8,23,0.06502923586552811
8,24,0.04830477419893844
9,1,0.06895133722271136
9,2,0.05308596777056362
9,3,0.0603564857745258
9,4,0.05385038497379617
9,5,0.06456854255971683
9,6,0.06919058845876884
9,7,0.0605213202641314
9,8,0.05256520111933344
9,9,0.05231613189401457
9,10,0.04822672662750857
9,11,0.05725879019929571
9,12,0.05504744054476267
9,13,0.05476275594356558
9,14,0.04926819155671272
9,15,0.04998804369293994
9,16,0.0489803885165184
9,17,0.05553282126718431
9,18,0.05048368797168151
9,19,0.05881568013165175
9,20,0.05968041520429745
9,21,0.06771356597553757
9,22,0.07076540075473282
9,23,0.06896037261637411
9,24,0.05936405949957112
10,1,0.1577270355142233
10,2,0.0917807208683721
10,3,0.1137891385721989
10,4,0.1077640767980512
10,5,0.1317163062451974
10,6,0.1468789553352259
10,7,0.1426345068140804
10,8,0.09009655624557097
10,9,0.09448970337825133
10,10,0.09037612733254598
10,11,0.1150829757393409
10,12,0.1154882671573595
10,13,0.130146577554612
10,14,0.1156370728181151
10,15,0.1241826618465781
10,16,0.1065064592096386
10,17,0.1138744418155192
10,18,0.1006232083523115
10,19,0.1013927370245679
10,20,0.09451094141366381
10,21,0.144417608742253
10,22,0.1330295590052656
10,23,0.1266203915179936
10,24,0.1076811660981748
11,1,0.04038355325623295
11,2,0.05340213383621885
11,3,0.0550378006403993
11,4,0.04936291481645327
11,5,0.05192307205680981
11,6,0.05261104522677459
11,7,0.04336973681214607
11,8,0.06433433965063763
11,9,0.06270262193749791
11,10,0.05790841511681331
11,11,0.06022047911636459
11,12,0.0591006631078965
11,13,0.0532485156470054
11,14,0.05189391381881441
11,15,0.05153793527084724
11,16,0.05652388407656918
11,17,0.06241399927213236
11,18,0.06092892570640132
11,19,0.07229188686102934
11,20,0.07630330722813441
11,21,0.05667763999643043
11,22,0.06274204843692632
11,23,0.0618249527482243
11,24,0.05701403544413496
12,1,0.02179037380324321
12,2,0.02642595899495115
12,3,0.0301707952631212
12,4,0.0294312829738305
12,5,0.03377448122350368
12,6,0.03637173091991078
12,7,0.03706996311719568
12,8,0.0426300163079766
12,9,0.04388762423935573
12,10,0.04341819658398078
12,11,0.0479843167367756
12,12,0.04791071264169819
12,13,0.05184983091798743
12,14,0.0495459917449055
12,15,0.05193764306611452
12,16,0.04793282692092459
12,17,0.04867404916739537
12,18,0.04647087343894247
12,19,0.04473649762920691
12,20,0.04272739385854801
12,21,0.03636651970596268
12,22,0.03310725237514596
12,23,0.03196809442375043
12,24,0.02915793485955481
13,1,0.04627310845474707
13,2,0.06155262803722492
13,3,0.06810054266870115
13,4,0.06176987900779014
13,5,0.07321875296490668
13,6,0.0794961791885633
13,7,0.07819480688473865
13,8,0.09577220028695677
13,9,0.09829945720144326
13,10,0.09384951563179707
13,11,0.1060781798862461
13,12,0.1020768914078103
13,13,0.1130482309896192
13,14,0.1077971672544407
13,15,0.1199070835096164
13,16,0.112449748212145
13,17,0.1187863933759914
13,18,0.1148234092069678
13,19,0.111564352534377
13,20,0.1082802403270265
13,21,0.08977345025570072
13,22,0.0811802581932161
13,23,0.07906734434604154
13,24,0.0711091957945078
14,1,-0.1077295494067256
14,2,-0.1600000000000816
14,3,-0.1600000002111071
14,4,-0.1600000000000819
14,5,-0.1600000000000819
14,6,-0.1600000000000819
14,7,-0.2400000000001226
14,8,-0.2400000000649729
14,9,-0.240000000252172
14,10,-0.2400000000001226
14,11,-0.2400000014486618
14,12,-0.2400000015245846
14,13,-0.3200000000001637
14,14,-0.3200000000001634
14,15,-0.3200000000001637
14,16,-0.3200000000001637
14,17,-0.3200000000001637
14,18,-0.3200000000001637
14,19,-0.2400000012303896
14,20,-0.2400000006415906
14,21,-0.2400000000001228
14,22,-0.1600000000000819
14,23,-0.1600000000000815
14,24,-0.1600000002032929
15,1,0.1907616272630654
15,2,0.1973633113610414
15,3,0.2100343756532526
15,4,0.1986955382281299
15,5,0.2173751511950629
15,6,0.2254304562059824
15,7,0.2627441729217881
15,8,0.2488782426350954
15,9,0.2484441647276885
15,10,0.2413171460399002
15,11,0.2570582340613181
15,12,0.2532042922978323
15,13,0.3051306665018223
15,14,0.2955547356251266
15,15,0.2968092944604819
15,16,0.2950531522738428
15,17,0.3064727369172964
15,18,0.2976731036760069
15,19,0.259771582843735
15,20,0.2612786433819935
15,21,0.2752788240663684
15,22,0.2281750402399788
15,23,0.2250292358656096
15,24,0.2083047744022313
16,1,0.05151644674376704
16,2,0.03434786616378116
16,3,0.0340621993596007
16,4,0.03913708518354674
16,5,0.03382692794319019
16,6,0.03038895477322541
16,7,0.03688026318785392
16,8,0.01246566034936238
16,9,0.0102973780625021
16,10,0.01144158488318669
16,11,0.01177952088363542
16,12,0.02274933689210351
16,13,0.03575148435299459
16,14,0.03985608618118559
16,15,0.04296206472915276
16,16,0.03897611592343082
16,17,0.03403600072786764
16,18,0.03557107429359868
16,19,0.02695811313897066
16,20,0.02569669277186559
16,21,0.04807236000356957
16,22,0.04475795156307368
16,23,0.04047504725177568
16,24,0.03973596455586505
17,1,0.04299651774200974
17,2,0.03910141296782393
17,3,0.04457866206817765
17,4,0.04230883801837935
17,5,0.05046676581158963
17,6,0.05478208989152593
17,7,0.06513522999806567
17,8,0.05592778340506663
17,9,0.057412918559201
17,10,0.05685228778422216
17,11,0.06358750337697833
17,12,0.06130239595049147
17,13,0.07634193809239334
17,14,0.07191684100065379
17,15,0.07373527342426911
17,16,0.06905742486693042
17,17,0.07131955745661323
17,18,0.0677357173540897
17,19,0.05562914983641604
17,20,0.05336236581442544
17,21,0.06187003003833662
17,22,0.04768248943163794
17,23,0.04701456123020802
17,24,0.0420828693459374
18,1,-0.02498355325623296
18,2,-0.03765213383621885
18,3,-0.0361378006403993
18,4,-0.02836291481645327
18,5,-0.02917307205680982
18,6,-0.02811104522677459
18,7,-0.01711973681214608
18,8,-0.03703433965063763
18,9,-0.0347026219374979
18,10,-0.02815841511681331
18,11,-0.02872047911636458
18,12,-0.02585066310789649
18,13,-0.0182485156470054
18,14,-0.01864391381881441
18,15,-0.02003793527084724
18,16,-0.02852388407656918
18,17,-0.03616399927213236
18,18,-0.03642892570640133
18,19,-0.04954188686102934
18,20,-0.05530330722813441
18,21,-0.03742763999643042
18,22,-0.04524204843692632
18,23,-0.04502495274822431
18,24,-0.04126403544413496
19,1,0.002270373803243214
19,2,0.00629595899495115
19,3,0.005770795263121197
19,4,0.002591282973830503
19,5,0.004494481223503682
19,6,0.005261730919910779
19,7,0.003519963117195685
19,8,0.0078600163079766
19,9,0.007897624239355736
19,10,0.005598196583980787
19,11,0.007724316736775608
19,12,0.005210712641698194
19,13,0.007319830917987435
19,14,0.006845991744905508
19,15,0.01167764306611453
19,16,0.0119428269209246
19,17,0.01512404916739538
19,18,0.01536087343894247
19,19,0.01545649762920691
19,20,0.01588739385854802
19,21,0.01196651970596268
19,22,0.01053725237514596
19,23,0.01061809442375043
19,24,0.009027934859554807
20,1,0.04044348225799028
20,2,0.05029858703217606
20,3,0.05227133793182236
20,4,0.04411116198162064
20,5,0.04936323418841038
20,6,0.05100791010847407
20,7,0.04661477000193433
20,8,0.06178221659493338
20,9,0.06029708144079901
20,10,0.05489771221577784
20,11,0.05710249662302168
20,12,0.05193760404950852
20,13,0.04881806190760665
20,14,0.04579315899934622
20,15,0.04248472657573089
20,16,0.05014257513306959
20,17,0.0583104425433868
20,18,0.05593428264591029
20,19,0.06357085016358398
20,20,0.06881763418557456
20,21,0.05583996996166339
20,22,0.05661751056836206
20,23,0.05728543876979199
20,24,0.05178713065406261
