index0,index1,Dist_Shift.val
1,1,0.0005163684556284943
1,2,0.000516368528772481
1,3,0.0005163683247842248
1,4,0.0005018226851048928
1,5,0.0005018228915078067
1,6,0.0005309138150680655
1,7,0.0005963690442008266
1,8,0.0006690971035530627
1,9,-0.0007127216986135139
1,10,0.0007269821745274376
1,11,-0.0007272777680449498
1,12,-0.0007272763073716752
1,13,-0.0007272764585327412
1,14,-0.0004186453155720815
1,15,-0.0007127319464284677
1,16,-0.0004969775682510452
1,17,-0.0006545481356717884
1,18,-5.38400147447615e-05
1,19,-0.0006036385943435628
1,20,-0.000346656308404446
1,21,-0.00058908388188821
1,22,0.0005818234328386257
1,23,0.0005672780727728645
1,24,0.0005454595425591588
2,1,0.0002618204333766834
2,2,0.0002618205331459367
2,3,0.000261820343670422
2,4,0.0002690931458175556
2,5,0.0002981844530386691
2,6,0.0003490938030249513
2,7,0.0004218218693855775
2,8,0.0005018227208631416
2,9,0.0005817020976835284
2,10,0.0006398568821843058
2,11,-0.0006836359920395932
2,12,-0.0007054519250580578
2,13,-0.0007199986981536729
2,14,-0.0006019996275708069
2,15,-0.0006981814112828907
2,16,-0.0006034156963502463
2,17,-0.0006036340058231594
2,18,0.0002711375199180598
2,19,-0.0004654501097879575
2,20,0.0004071792480236109
2,21,-0.0003599568095714357
2,22,0.000327275367393663
2,23,0.0003054572704802248
2,24,0.0002836386610824817
3,1,0.0001672740278241477
3,2,0.0001672740532998624
3,3,0.0001600010618865025
3,4,0.000167273873383058
3,5,0.0001818196487645521
3,6,0.0002181833475043317
3,7,0.0002836386740776069
3,8,0.0003709122629707947
3,9,0.0004581745340257262
3,10,0.0005452104457689054
3,11,-0.0006109121448982307
3,12,-0.0006690768977521692
3,13,-0.0007054426737083046
3,14,-0.000591672805204283
3,15,-0.0007272624500049528
3,16,-0.000459782292149131
3,17,-0.0006399882558866287
3,18,0.0005573346133061697
3,19,-0.0004872534526449783
3,20,0.0004217004204193158
3,21,0.000363496609117973
3,22,0.0003200025172864652
3,23,0.0002763659965541166
3,24,0.0002327289595098989
4,1,0.0002618204352203613
4,2,0.0002618205080570625
4,3,0.0002509109921859586
4,4,0.0002454564158732119
4,5,0.0002454566918887202
4,6,0.0002563656653564901
4,7,0.0002836386298024276
4,8,0.000327275237125332
4,9,0.000370836975203749
4,10,0.000398119213039776
4,11,-0.0004090886731037648
4,12,-0.0004145416187864975
4,13,-0.0004145428633708296
4,14,-0.0004193335536099898
4,15,-0.0004309070000316811
4,16,-0.0004447513989567268
4,17,-0.0004636357289065126
4,18,-0.0004698883363287197
4,19,-0.0004636314775684306
4,20,0.0004338336380606548
4,21,-0.000397949131699107
4,22,0.0003600029227997854
4,23,0.0003272756185586828
4,24,0.000305456912640749
5,1,0.0003872762777990071
5,2,0.0003872762570491313
5,3,0.0003872761093587263
5,4,0.0003763669009831462
5,5,0.000376367050263231
5,6,0.0003981852366036138
5,7,0.0004472767433563004
5,8,0.0005018227740147554
5,9,0.0005345452774231487
5,10,-0.0005443921835250913
5,11,0.0004562530222304247
5,12,-0.0005446218813702379
5,13,-0.0005445823841348149
5,14,-0.0005451052396588263
5,15,-0.0005337472586548562
5,16,-0.0005123438785173165
5,17,-0.0004900158865871892
5,18,-0.0004686816856122163
5,19,-0.0004519337692649984
5,20,-0.0004469100046915093
5,21,-0.000441231682502182
5,22,0.0004363673819597243
5,23,0.0004254584177618777
5,24,0.0004090944791668574
6,1,0.0001963652417939097
6,2,0.0001963652161789665
6,3,0.0001690921007226453
6,4,0.0001472736926207807
6,5,0.00013091002315872
6,6,0.0001200005595652174
6,7,0.0001200007048346066
6,8,0.000125455296386605
6,9,0.0001363532639056438
6,10,-0.0001636351697325614
6,11,0.0002016062060857214
6,12,0.0002561888376879785
6,13,0.0003143983170556932
6,14,-0.0003818135919813133
6,15,-0.0002381340113359983
6,16,-0.000490906431490636
6,17,-0.0005250141960176421
6,18,-0.0005454526546475175
6,19,0.0001381978179127374
6,20,-0.0005072708942390577
6,21,-0.0004636254919264723
6,22,0.0004090942312619502
6,23,0.0003545485881581425
6,24,0.0003000024174925847
7,1,0.0001309100708223385
7,2,0.0001309100465440533
7,3,0.0001127279040484296
7,4,9.818231600605887e-05
7,5,8.727323942559701e-05
7,6,8.000019920417763e-05
7,7,8.000034334581788e-05
7,8,8.36367187614919e-05
7,9,9.090216805137118e-05
7,10,0.0001085641232700896
7,11,0.0001339597539342624
7,12,0.000159311474741097
7,13,0.0001767393055176972
7,14,-0.0002528788655988116
7,15,-0.0001937791539165791
7,16,-0.0003250468274342996
7,17,-0.0002687221634003567
7,18,-0.0003618047349821717
7,19,-0.0001455750199231007
7,20,-0.000336674327781835
7,21,-0.0002977328366731605
7,22,0.0002727293273982945
7,23,0.0002363655911579993
7,24,0.0002000014209322432
8,1,8.363685246694855e-05
8,2,8.363683525259542e-05
8,3,8.000033823546717e-05
8,4,8.363673343195486e-05
8,5,9.09096325529145e-05
8,6,0.0001090914013949017
8,7,0.0001418191209297012
8,8,0.0001854559223969431
8,9,0.0002290862489810522
8,10,0.0002705623222295153
8,11,0.0003027915916155044
8,12,-0.0003341398448157973
8,13,-0.000352501497289257
8,14,-0.0003635507601894039
8,15,-0.0003635119758427236
8,16,-0.0003490069439011591
8,17,-0.0003196034209056594
8,18,-0.000279860741504847
8,19,7.463795698900609e-05
8,20,3.069414503255015e-05
8,21,0.0001816681570073545
8,22,0.0001600009612318956
8,23,0.0001381827989757165
8,24,0.0001163642391752284
