index0,index1,P_thermal_dist.val
1,1,0.0560000005453985
1,2,0.05600000028880699
1,3,0.0560000123555336
1,4,0.05600001292953462
1,5,0.05600000118111823
1,6,0.06437769149379266
1,7,0.06827405129377787
1,8,0.06999995693747675
1,9,0.06999999906229888
1,10,0.06999999901320804
1,11,0.06999999882171738
1,12,0.0699999985941767
1,13,0.0699999984724322
1,14,0.0699999989552123
1,15,0.06999999897135924
1,16,0.06999999907367521
1,17,0.06999999872681364
1,18,0.06999999907884491
1,19,0.06999999879673113
1,20,0.06999999896602854
1,21,0.06999999921038876
1,22,0.06999999675127401
1,23,0.05600000392247275
1,24,0.06999999046893571
2,1,0.05499999851509844
2,2,0.05499999852332953
2,3,0.05499999829592089
2,4,0.05499999862485385
2,5,0.05499999860753864
2,6,0.05499999897073981
2,7,0.05499999895568974
2,8,0.05499999848738486
2,9,0.05499999932614232
2,10,0.05499999938411312
2,11,0.05499999930440248
2,12,0.05499999929495038
2,13,0.05499999924647429
2,14,0.05499999934774643
2,15,0.05499999927180058
2,16,0.05499999934311333
2,17,0.05499999923374597
2,18,0.05499999940276492
2,19,0.05499999933396409
2,20,0.05499999937758785
2,21,0.0549999993518105
2,22,0.05499999909529247
2,23,0.05499999839844796
2,24,0.05499999901673489
3,1,0.03899999961759161
3,2,0.03899997123024552
3,3,0.0390000053810191
3,4,0.03900000522844811
3,5,0.03899999917342025
3,6,0.03960682672341704
3,7,0.03900001559097958
3,8,0.03900002741404289
3,9,0.06499997878695539
3,10,0.0520002784029597
3,11,0.06499999582186547
3,12,0.06499999413850882
3,13,0.06499999424545962
3,14,0.05477584303173378
3,15,0.06499999582977767
3,16,0.06323868234528336
3,17,0.0649999944330229
3,18,0.05636925141295761
3,19,0.06499999319003529
3,20,0.05793850773643606
3,21,0.06499997755238361
3,22,0.04429201709739057
3,23,0.03899999978732407
3,24,0.03900003208421516
4,1,0.07499999971665611
4,2,0.07499999972273634
4,3,0.0749999997804861
4,4,0.07499999957802132
4,5,0.07499999991682983
4,6,0.0749999991211212
4,7,0.07499999999119233
4,8,0.07499999940111426
4,9,0.07499999979809453
4,10,0.07499999974265503
4,11,0.07499999978586676
4,12,0.07499999977803071
4,13,0.07500000002519396
4,14,0.07499999996956302
4,15,0.07499999977313379
4,16,0.07499999982766153
4,17,0.0749999997401612
4,18,0.07499999981417871
4,19,0.07499999979879171
4,20,0.07499999976760201
4,21,0.07499999976446982
4,22,0.07499999973428281
4,23,0.07499999973614364
4,24,0.0749999997051167
5,1,0.03338379403083935
5,2,0.02045381201260282
5,3,0.03999999693970244
5,4,0.03999999644387717
5,5,0.03999998629466076
5,6,0.03999999884702409
5,7,0.03999999900456062
5,8,0.03999999879129233
5,9,0.0400000003462895
5,10,0.04000000063368601
5,11,0.04000000043856466
5,12,0.04000000075682893
5,13,0.04000000086939346
5,14,0.04000000064191706
5,15,0.04000000129950911
5,16,0.04000000086702006
5,17,0.04000000159994618
5,18,0.03999999953309759
5,19,0.04000000051252989
5,20,0.03999999995512289
5,21,0.04000000037174038
5,22,0.03999999967223147
5,23,0.03999999618396445
5,24,0.03999999932307711
