index0,index1,index2,I.val
1,2,1,0.04024676062744604
1,2,2,0.02233350467791951
1,2,3,0.03992224438664255
1,2,4,0.03993199922591331
1,2,5,0.0293100339979147
1,2,6,0.04182225588732502
1,2,7,0.03459093904315459
1,2,8,0.03315647104129148
1,2,9,0.04267654312041659
1,2,10,0.03269509884970045
1,2,11,0.04217269877024241
1,2,12,0.0420133302544243
1,2,13,0.04191192414380783
1,2,14,0.031486309339096
1,2,15,0.04191152944654139
1,2,16,0.03461526434125605
1,2,17,0.04227314622395665
1,2,18,0.03285860121856884
1,2,19,0.04285599942871429
1,2,20,0.03462044280518983
1,2,21,0.04330890846331818
1,2,22,0.02841324885644761
1,2,23,0.02405294915707526
1,2,24,0.03012002546728292
2,3,1,0.04057561248244272
2,3,2,0.0225763363880373
2,3,3,0.04023574480559642
2,3,4,0.04025985287954385
2,3,5,0.02961406526939258
2,3,6,0.04225998668679681
2,3,7,0.03510794484845267
2,3,8,0.03381819045208029
2,3,9,0.04360262153300995
2,3,10,0.0336611970049315
2,3,11,0.04339862504345574
2,3,12,0.04335423873890989
2,3,13,0.04332457049754612
2,3,14,0.03275226172158657
2,3,15,0.04336852766515931
2,3,16,0.03588958268128828
2,3,17,0.0435603140963892
2,3,18,0.03385362038651724
2,3,19,0.0438417104950517
2,3,20,0.03538918133978985
2,3,21,0.04404866959370508
2,3,22,0.02894027952660904
2,3,23,0.02447098290611492
2,3,24,0.03051496201475758
3,4,1,0.04109331242674325
3,4,2,0.02295946014604116
3,4,3,0.04075163993619289
3,4,4,0.04079021667804249
3,4,5,0.03011653958087987
3,4,6,0.04296572337116725
3,4,7,0.03588509653729844
3,4,8,0.03472584690472688
3,4,9,0.0447957223281741
3,4,10,0.03481649648076072
3,4,11,0.04479572241402124
3,4,12,0.04479572241498107
3,4,13,0.04479572241550884
3,4,14,0.0340356425088108
3,4,15,0.04479572243529326
3,4,16,0.0371234404055885
3,4,17,0.04479572241437563
3,4,18,0.03481352437927997
3,4,19,0.04479572242928508
3,4,20,0.03614092549974784
