index0,index1,GenCosts_dist.val
1,1,11.93192013492988
1,2,11.9319201220449
1,3,11.93192291927366
1,4,11.93192311379274
1,5,11.93192026771419
1,6,13.95211654293756
1,7,14.89168477603978
1,8,15.30786963911629
1,9,15.30787976013899
1,10,15.30787977661563
1,11,15.30787973387466
1,12,15.30787971748695
1,13,15.30787971554112
1,14,15.30787976461168
1,15,15.307879725567
1,16,15.30787976971682
1,17,15.30787972070415
1,18,15.30787976887051
1,19,15.30787973394836
1,20,15.30787975520175
1,21,15.30787976521525
1,22,15.30787918995562
1,23,11.93192097250671
1,24,15.30787781352224
2,1,11.51332566904667
2,2,11.5133256712161
2,3,11.51332561762102
2,4,11.51332569401407
2,5,11.51332569038837
2,6,11.51332577329149
2,7,11.51332577015935
2,8,11.51332566637552
2,9,11.5133258536169
2,10,11.51332586647266
2,11,11.5133258486022
2,12,11.51332584653149
2,13,11.5133258358155
2,14,11.51332585823472
2,15,11.51332584151361
2,16,11.51332585711983
2,17,11.51332583339683
2,18,11.51332587039389
2,19,11.51332585516252
2,20,11.51332586471964
2,21,11.51332585927869
2,22,11.513325801756
2,23,11.51332564554536
2,24,11.51332578404894
3,1,9.192455823370045
3,2,9.192448794778937
3,3,9.192457203228255
3,4,9.192457169371721
3,5,9.192455723582498
3,6,9.345016971483172
3,7,9.192459802859563
3,8,9.192462713440975
3,9,15.83113452036166
3,10,12.46083219691981
3,11,15.83113893549698
3,12,15.83113850346382
3,13,15.83113853092598
3,14,13.18042508442121
3,15,15.83113893802587
3,16,15.37450080589361
3,17,15.8311385795099
3,18,13.59353215085489
3,19,15.83113825780766
3,20,14.00037753446639
3,21,15.83113420188173
3,22,10.52291129995563
3,23,9.192455861861466
3,24,9.192463929734568
4,1,11.80649995476127
4,2,11.80649995150165
4,3,11.80649995546631
4,4,11.80649995576512
4,5,11.80649995451043
4,6,11.80649995848201
4,7,11.80649995782776
4,8,11.80649989429993
4,9,11.80649996234643
4,10,11.80649996529037
4,11,11.80649996472551
4,12,11.80649996493592
4,13,11.80649996398492
4,14,11.80649996724102
4,15,11.80649996474279
4,16,11.80649996707501
4,17,11.80649996223518
4,18,11.80649996544733
4,19,11.80649996562626
4,20,11.80649996407386
4,21,11.80649996204704
4,22,11.80649995760094
4,23,11.80649995625104
4,24,11.80649995448381
5,1,7.529799509056162
5,2,4.472117357532805
5,3,9.094399148987822
5,4,9.094399033594026
5,5,9.094396641097791
5,6,9.094399584634717
5,7,9.094399625256266
5,8,9.094399597103642
5,9,9.094399837559823
5,10,9.094399877501964
5,11,9.094399834875324
5,12,9.094400107091875
5,13,9.09440019044713
5,14,9.094399861709364
5,15,9.094400276638282
5,16,9.094400156939605
5,17,9.094400360133683
5,18,9.094399621062122
5,19,9.094399836338066
5,20,9.094399734988247
5,21,9.094399826199377
5,22,9.09439976413367
5,23,9.094398979156793
5,24,9.094399696949692
