index0,index1,index2,Q.val
1,2,1,0.003079790379858553
1,2,2,0.002150674994440606
1,2,3,0.003039620500049194
1,2,4,0.003065186236657948
1,2,5,0.002621548365806178
1,2,6,0.003440963480931903
1,2,7,0.003358051738976654
1,2,8,0.003657805374224492
1,2,9,0.004710378192530396
1,2,10,0.004294957319501093
1,2,11,0.005335765067131396
1,2,12,0.005516126706835196
1,2,13,0.005638062085354801
1,2,14,0.004815184594686115
1,2,15,0.005641885879415743
1,2,16,0.004793419754274603
1,2,17,0.005215610426956257
1,2,18,0.004121701551913992
1,2,19,0.004527930003582587
1,2,20,0.003661650891391579
1,2,21,0.003977570540987146
1,2,22,0.00296013957204232
1,2,23,0.002558929060789213
1,2,24,0.002734342407394293
2,3,1,0.002504299360002894
2,3,2,0.001650780934153401
2,3,3,0.002483168813189852
2,3,4,0.002491021406985214
2,3,5,0.002056872066187538
2,3,6,0.002735114866246045
2,3,7,0.002523734698835849
2,3,8,0.002617562635759589
2,3,9,0.003417698173147867
2,3,10,0.002832688615565225
2,3,11,0.003674092164140044
2,3,12,0.003713745112242825
2,3,13,0.003747745652799401
2,3,14,0.002916436193399718
2,3,15,0.003698549161510787
2,3,16,0.002951942161067709
2,3,17,0.003482810873974135
2,3,18,0.002623400891621534
2,3,19,0.003163798255146037
2,3,20,0.002491526766427092
2,3,21,0.00291197167827465
2,3,22,0.002063667281149442
2,3,23,0.001786899149814518
2,3,24,0.002042599118344158
3,4,1,-3.583691264047649e-06
3,4,2,-3.019845309899384e-05
3,4,3,-9.133972403449417e-06
3,4,4,-2.065236719033337e-05
3,4,5,-3.852958840265286e-05
3,4,6,-6.94927923105947e-05
3,4,7,-0.0001341152663055017
3,4,8,-0.0001811563250979791
3,4,9,-3.393788652309416e-05
3,4,10,-0.0003047898576090226
3,4,11,-2.411034601589352e-05
3,4,12,-3.729306485070817e-05
3,4,13,-3.851630095292137e-05
3,4,14,-0.0003791661178678414
3,4,15,-3.487712738478504e-05
3,4,16,-0.0003435686221344078
3,4,17,-2.166085671849267e-05
3,4,18,-0.0002497637184072421
3,4,19,-6.047584791048474e-06
3,4,20,-0.0001427652214409105
3,4,21,-1.130771106398419e-05
3,4,22,-7.339308178893633e-05
3,4,23,-8.996983838384436e-05
3,4,24,-5.787711752820693e-05
4,5,1,-0.01094234200029794
4,5,2,-0.00860598092759416
4,5,3,-0.01078743743757228
4,5,4,-0.01068065871358758
4,5,5,-0.009333041180457512
4,5,6,-0.01115778102804968
4,5,7,-0.01088599522557565
4,5,8,-0.01139809977466632
4,5,9,-0.01984007686478843
4,5,10,-0.01227404347276048
4,5,11,-0.02752667934290465
4,5,12,-0.02776522002326937
4,5,13,-0.02766199754216184
4,5,14,-0.01300506467319359
4,5,15,-0.02791121168649549
4,5,16,-0.01326172630345303
4,5,17,-0.02782231574136398
4,5,18,-0.01273874165672959
4,5,19,-0.02772797843816693
4,5,20,-0.01237874260248847
4,5,21,-0.0196964233546151
4,5,22,-0.01095760768381025
4,5,23,-0.01003408147161161
4,5,24,-0.0104678798431832
4,6,1,0.009000574984903332
4,6,2,0.006816078171226319
4,6,3,0.00887921094736652
4,6,4,0.008796397792923892
4,6,5,0.00755486244480107
4,6,6,0.009222060320425468
4,6,7,0.008953104369613244
4,6,8,0.009410276914736523
4,6,9,0.01797997246001247
4,6,10,0.01016896970150915
4,6,11,0.02563618235425346
4,6,12,0.02584369140625393
4,6,13,0.02570388056026554
4,6,14,0.01075638399510411
4,6,15,0.02592133627301505
4,6,16,0.01099549724203067
4,6,17,0.02579328807720463
4,6,18,0.01051162018413166
4,6,19,0.02566203590833607
4,6,20,0.01023549794577799
4,6,21,0.0176476479994351
4,6,22,0.008934957920006143
4,6,23,0.00805831191814191
4,6,24,0.008501050924842619
6,7,1,0.007483174812180918
6,7,2,0.005344152421652591
6,7,3,0.007380438050190747
6,7,4,0.007332986925016848
6,7,5,0.006118495456612672
6,7,6,0.007718226962705544
6,7,7,0.007378174070543167
6,7,8,0.007731956120055024
6,7,9,0.01619610062813692
6,7,10,0.00836040404826461
6,7,11,0.02381592901367434
6,7,12,0.02402338318815442
6,7,13,0.02386588994857295
6,7,14,0.008935106479868787
6,7,15,0.02410095196815618
6,7,16,0.009227303677034766
6,7,17,0.02406124180902781
6,7,18,0.00884859419252853
6,7,19,0.02400064261428258
6,7,20,0.008606393009654361
6,7,21,0.01602258973360291
6,7,22,0.007327229244552994
6,7,23,0.006475339529686958
6,7,24,0.006956087621790903
7,8,1,0.006503642898329619
7,8,2,0.004651142819505174
7,8,3,0.006425131661078694
7,8,4,0.006360711621744153
7,8,5,0.005280956080803294
7,8,6,0.006588315824937399
7,8,7,0.006194815338749852
7,8,8,0.006349188415175374
7,8,9,0.01460065401779785
7,8,10,0.006617876197459121
7,8,11,0.02183949915721408
7,8,12,0.02190412621052044
7,8,13,0.02165710768836683
7,8,14,0.006778912154666888
7,8,15,0.02183871417365204
7,8,16,0.007143922021296771
7,8,17,0.02201452305136325
7,8,18,0.0071001338563701
7,8,19,0.02232925106874262
7,8,20,0.007187801353999205
7,8,21,0.01466067416658884
7,8,22,0.006181644141133289
7,8,23,0.00548171621942573
7,8,24,0.005975484285909073
8,9,1,0.005627133143641437
8,9,2,0.003790044811231337
8,9,3,0.005584224757433092
8,9,4,0.005537463108724762
8,9,5,0.004466836672951582
8,9,6,0.005727975162615157
8,9,7,0.005252000259609972
8,9,8,0.005266030818740925
8,9,9,0.01337646104152326
8,9,10,0.005309021176062786
8,9,11,0.02049136744414122
8,9,12,0.02053826741071538
8,9,13,0.02029116879079304
8,9,14,0.005383388426557897
8,9,15,0.02041987395679492
8,9,16,0.005678039456884131
8,9,17,0.02049017323514341
8,9,18,0.005546156813305431
8,9,19,0.02080519940568104
8,9,20,0.005756920977218419
8,9,21,0.01334861567993533
8,9,22,0.004998900457583758
8,9,23,0.004407202182012939
8,9,24,0.004966457273802021
9,10,1,-0.001632302883811592
9,10,2,-0.001263080254970022
9,10,3,-0.001650825331930927
9,10,4,-0.001674702159486102
9,10,5,-0.001500111246107449
9,10,6,-0.001816808950495279
9,10,7,-0.001818111169305157
9,10,8,-0.001888325316700152
9,10,9,-0.002259459790529056
9,10,10,-0.002004613221079934
9,10,11,-0.002452603532966707
9,10,12,-0.002411775053272137
9,10,13,-0.002334343100509707
9,10,14,-0.001700919372899017
9,10,15,-0.00218055520689357
9,10,16,-0.001572409924089011
9,10,17,-0.002054857370179523
9,10,18,-0.001444104512026099
9,10,19,-0.001984321565574169
9,10,20,-0.001484398698416355
9,10,21,-0.001603618199457833
9,10,22,-0.00138683537617082
9,10,23,-0.001279874944025481
9,10,24,-0.001457698461680423
9,11,1,0.005589201037253981
9,11,2,0.003691580420566126
9,11,3,0.005566845175518874
9,11,4,0.005562361985363059
9,11,5,0.004472765169764919
9,11,6,0.005835596492243912
9,11,7,0.005268313791376622
9,11,8,0.005239824227799756
9,11,9,0.01361125470157023
9,11,10,0.005223056907790173
9,11,11,0.02121563344000594
9,11,12,0.02119973435375488
9,11,13,0.0208698850206571
9,11,14,0.005289125883846326
9,11,15,0.02079230643776357
9,11,16,0.005397519390346119
9,11,17,0.02065138474603247
9,11,18,0.005056450221893772
9,11,19,0.02091059199474376
9,11,20,0.004986053183261742
9,11,21,0.01329064908045227
9,11,22,0.004484478098182421
9,11,23,0.00400256391562429
9,11,24,0.00465147613538327
10,12,1,-0.002366521066906689
10,12,2,-0.001996281631328913
10,12,3,-0.002297127961403533
10,12,4,-0.002250637694352138
10,12,5,-0.002022321581991029
10,12,6,-0.002302912036739616
10,12,7,-0.002302076405284925
10,12,8,-0.002387490935554142
10,12,9,-0.0027916737596246
10,12,10,-0.002623893576881872
10,12,11,-0.003197735343607202
10,12,12,-0.003332835221536568
10,12,13,-0.003449022903343521
10,12,14,-0.003027034968889998
10,12,15,-0.003700807585936757
10,12,16,-0.003252171036158891
10,12,17,-0.00385872299786185
10,12,18,-0.003300194704161099
10,12,19,-0.003807927177269375
10,12,20,-0.003218909411957623
10,12,21,-0.003199626189414188
10,12,22,-0.002805597206822082
10,12,23,-0.002522894268058185
10,12,24,-0.002525602677947938
11,13,1,0.003610102296262272
11,13,2,0.001832208634482692
11,13,3,0.003608668357776918
11,13,4,0.003603683696246889
11,13,5,0.002556314526523911
11,13,6,0.003691360422099303
11,13,7,0.002842080660901484
11,13,8,0.002476333123665744
11,13,9,0.01056623043937602
11,13,10,0.001941608533211199
11,13,11,0.0177626124079939
11,13,12,0.01760137209101654
11,13,13,0.01718002278747939
11,13,14,0.001540075372826437
11,13,15,0.01708081507689365
11,13,16,0.001790494190675842
11,13,17,0.01726120350229909
11,13,18,0.001908936482542653
11,13,19,0.01800639150709191
11,13,20,0.002245352420389785
11,13,21,0.01072094549920106
11,13,22,0.00203964723458175
11,13,23,0.001737730688868818
11,13,24,0.002463279917489244
11,14,1,0.0004050734474674444
11,14,2,0.0004050734474674444
11,14,3,0.0003874615584471208
11,14,4,0.0004050734474674444
11,14,5,0.0004402972255080918
11,14,6,0.0005283566706097101
11,14,7,0.0006868636717926233
11,14,8,0.0008982063400365072
11,14,9,0.001109549008280391
11,14,10,0.001320891676524275
11,14,11,0.001479398677707188
11,14,12,0.001620293789869778
11,14,13,0.001708353234971396
11,14,14,0.001761188902032367
11,14,15,0.001761188902032367
11,14,16,0.001690741345951072
11,14,17,0.001549846233788483
11,14,18,0.001356115454564923
11,14,19,0.001179996564361686
11,14,20,0.001021489563178773
11,14,21,0.0008805944510161836
11,14,22,0.0007749231168942415
11,14,23,0.0006692517827722995
11,14,24,0.0005635804486503575
12,15,1,-0.00372375105914467
12,15,2,-0.00335241182808962
12,15,3,-0.003654508340529259
12,15,4,-0.003572658140301221
12,15,5,-0.00334340476296786
12,15,6,-0.003693992713557175
12,15,7,-0.003850426291305376
12,15,8,-0.004110529015306234
12,15,9,-0.00461876253818509
12,15,10,-0.004485379747194668
12,15,11,-0.005061910326937057
12,15,12,-0.005196821554867215
12,15,13,-0.005312902334242588
12,15,14,-0.004891012511417902
12,15,15,-0.005529786835947027
12,15,16,-0.005011313613152063
12,15,17,-0.005547851134111709
12,15,18,-0.004917805610362655
12,15,19,-0.005375212823862325
12,15,20,-0.004767400991579698
12,15,21,-0.004732846878930013
12,15,22,-0.004319924803701949
12,15,23,-0.004002149536715461
12,15,24,-0.003952747006920382
13,16,1,0.001982652988602073
13,16,2,0.0002257863725270757
13,16,3,0.002013997368691432
13,16,4,0.00204420443398276
13,16,5,0.00102492528513333
13,16,6,0.002147879095038609
13,16,7,0.001298556624159497
13,16,8,0.0009177826039336064
13,16,9,0.008993260308428301
13,16,10,0.0003526800621553323
13,16,11,0.0161570446263672
13,16,12,0.01597739243384996
13,16,13,0.01552016563631602
13,16,14,-0.0001387311904707433
13,16,15,0.01538498180273946
13,16,16,5.89702892461233e-05
13,16,17,0.01551321024599209
13,16,18,0.0001247685956773201
13,16,19,0.01620733008166933
13,16,20,0.0004438471286041018
13,16,21,0.00894247880599293
13,16,22,0.0002789809789273754
13,16,23,1.921970358289866e-05
13,16,24,0.0007687456796733979
16,17,1,0.0002455901371516248
16,17,2,-0.001437659296150636
16,17,3,0.0003038263195388498
16,17,4,0.0003693412462938443
16,17,5,-0.0005957444600695375
16,17,6,0.0004851170567230704
16,17,7,-0.0003643825741836449
16,17,8,-0.000753883051096706
16,17,9,0.007315314350778535
16,17,10,-0.0013375290619386
16,17,11,0.01445317725782535
16,17,12,0.01425302628352549
16,17,13,0.01375810082243505
16,17,14,-0.001923829690567247
16,17,15,0.01358488618877501
16,17,16,-0.001778824498773455
16,17,17,0.01366239167289274
16,17,18,-0.001765470195026681
16,17,19,0.01430964906528547
16,17,20,-0.001463123618762618
16,17,21,0.007072594765577036
16,17,22,-0.001572915865391902
16,17,23,-0.001772955613929753
16,17,24,-0.001027438815910562
17,18,1,0.004443078672464643
17,18,2,0.002251532183054645
17,18,3,0.004443952439556274
17,18,4,0.004461282709503727
17,18,5,0.003190739799692513
17,18,6,0.004695431175583286
17,18,7,0.003952274062145601
17,18,8,0.00378676748683964
17,18,9,0.01232329444080193
17,18,10,0.003501243513863068
17,18,11,0.01994214983064099
17,18,12,0.01985884247587939
17,18,13,0.01945793257890692
17,18,14,0.003309650814711009
17,18,15,0.01941679637019738
17,18,16,0.003566272832272205
17,18,17,0.01952122618923839
17,18,18,0.003506013938173126
17,18,19,0.02000375479000696
17,18,20,0.003637239363925762
17,18,21,0.01214289905121019
17,18,22,0.00305085103534674
17,18,23,0.002489343901908254
17,18,24,0.003338133819747401
17,19,1,-0.00562397399358425
17,19,2,-0.005053774786878872
17,19,3,-0.005574728657639579
17,19,4,-0.005490986119841333
17,19,5,-0.005151088620980437
17,19,6,-0.005694908095237572
17,19,7,-0.0059666278316376
17,19,8,-0.00636278806290743
17,19,9,-0.006928584841124382
17,19,10,-0.006787185825141576
17,19,11,-0.007442277064368928
17,19,12,-0.007560733509757851
17,19,13,-0.007656126569893758
17,19,14,-0.00718780897147727
17,19,15,-0.007754839679958682
17,19,16,-0.007193271439933363
17,19,17,-0.007639508317904696
17,19,18,-0.006977069222779827
17,19,19,-0.007348200352598086
17,19,20,-0.006736283991103339
17,19,21,-0.006677429791725032
17,19,22,-0.00621120628525651
17,19,23,-0.005766561613410512
17,19,24,-0.005876242311449463
18,20,1,0.003011529887685799
18,20,2,0.0008236609180481384
18,20,3,0.003029553759218954
18,20,4,0.0030821281454082
18,20,5,0.001813590950616024
18,20,6,0.003281904772155261
18,20,7,0.002451096105724426
18,20,8,0.002180432092808665
18,20,9,0.01061160968274688
18,20,10,0.001754602226468707
18,20,11,0.01819551748780217
18,20,12,0.01811205580232487
18,20,13,0.01769341070659635
18,20,14,0.001545102228973921
18,20,15,0.01766975814856806
18,20,16,0.00185460600172085
18,20,17,0.01786243168329978
18,20,18,0.00190005863450778
18,20,19,0.01841576809268348
18,20,20,0.002066670027518926
18,20,21,0.01059073680514361
18,20,22,0.001498834979608509
18,20,23,0.0009546735831305152
18,20,24,0.001856028712570098
20,21,1,0.002183884586921428
20,21,2,0.002183884548224679
20,21,3,0.00213104865550617
20,21,4,0.00209582461020416
20,21,5,0.002078212453663659
20,21,6,0.00218388478255829
20,21,7,0.002395229556317164
20,21,8,0.002677022297520083
20,21,9,0.00290597853378395
20,21,10,0.003029262464491408
20,21,11,0.003082098465042161
20,21,12,0.003099710346385905
20,21,13,0.003099710366742603
20,21,14,0.003134934152066664
20,21,15,0.003117321542766183
20,21,16,0.003134932759314321
20,21,17,0.003117319499540977
20,21,18,0.003099706659161716
20,21,19,0.003011646258249683
20,21,20,0.002905974621200762
20,21,21,0.002782691398997154
20,21,22,0.00264179589984181
20,21,23,0.002500900200127271
20,21,24,0.002395228364099015
20,22,1,-0.0001338714420221801
20,22,2,-0.002241519527520191
20,22,3,-3.700797478147655e-05
20,22,4,6.920339305980052e-05
20,22,5,-0.001138971300911649
20,22,6,0.0001630212482752613
20,22,7,-0.0009604384585892002
20,22,8,-0.001645192849554027
20,22,9,0.006422946049269621
20,22,10,-0.002642505762158639
20,22,11,0.01371438995881224
20,22,12,0.01359195317666233
20,22,13,0.01317033486330649
20,22,14,-0.003053649386974884
20,22,15,0.01307293767325683
20,22,16,-0.002813888035000023
20,22,17,0.0131637281829882
20,22,18,-0.002820630876952225
20,22,19,0.01383180752543965
20,22,20,-0.002331393416942575
20,22,21,0.00646069241847259
20,22,22,-0.002364369234754521
20,22,23,-0.002666875140886566
20,22,24,-0.001594405233607664
21,23,1,0.001338503565544599
21,23,2,0.001338503565544599
21,23,3,0.001320891676524275
21,23,4,0.001303279787503951
21,23,5,0.001285667898483628
21,23,6,0.001356115454564923
21,23,7,0.001479398677707188
21,23,8,0.001620293789869778
21,23,9,0.001708353234971396
21,23,10,0.001743577013012044
21,23,11,0.001761188902032367
21,23,12,0.001761188902032367
21,23,13,0.001761188902032367
21,23,14,0.001761188902032367
21,23,15,0.00172596512399172
21,23,16,0.001690741345951072
21,23,17,0.001620293789869778
21,23,18,0.001567458122808807
21,23,19,0.001514622455747836
21,23,20,0.001497010566727512
21,23,21,0.001497010566727512
21,23,22,0.001479398677707188
21,23,23,0.001444174899666541
21,23,24,0.001408951121625893
22,24,1,-0.002422366127153553
22,24,2,-0.004527989811592717
22,24,3,-0.002194725048533238
22,24,4,-0.001975878917489462
22,24,5,-0.003108303317516148
22,24,6,-0.00176734768173189
22,24,7,-0.002890382213131317
22,24,8,-0.003611588602583743
22,24,9,0.00440065792130796
22,24,10,-0.004778917541838241
22,24,11,0.01142509361784011
22,24,12,0.01109658886079249
22,24,13,0.01043775232086875
22,24,14,-0.005806996821323724
22,24,15,0.01007959726787295
22,24,16,-0.005937369068899404
22,24,17,0.009871873077551474
22,24,18,-0.006155584066184099
22,24,19,0.01040957927045843
22,24,20,-0.005573297204338717
22,24,21,0.003358191742464495
22,24,22,-0.005549428536463583
22,24,23,-0.005623280800964026
22,24,24,-0.004322147818426453
22,25,1,0.00158507001182913
22,25,2,0.00158507001182913
22,25,3,0.001549846233788483
22,25,4,0.001514622455747836
22,25,5,0.001497010566727512
22,25,6,0.001497010566727512
22,25,7,0.001497010566727512
22,25,8,0.001514622455747836
22,25,9,0.001532234344768159
22,25,10,0.001549846233788483
22,25,11,0.001567458122808807
22,25,12,0.00158507001182913
22,25,13,0.001620293789869778
22,25,14,0.001637905678890102
22,25,15,0.001655517567910425
22,25,16,0.001690741345951072
22,25,17,0.001708353234971396
22,25,18,0.001743577013012044
22,25,19,0.001761188902032367
22,25,20,0.001761188902032367
22,25,21,0.001743577013012044
22,25,22,0.00172596512399172
22,25,23,0.001690741345951072
22,25,24,0.001655517567910425
24,26,1,0.004707812116337388
24,26,2,0.004707811941547395
24,26,3,0.004582758990318181
24,26,4,0.004531678919319715
24,26,5,0.004588051871735411
24,26,6,0.004843441285310249
24,26,7,0.005352466164937932
24,26,8,0.006060532348000408
24,26,9,0.006768607256426622
24,26,10,0.007352347083834387
24,26,11,0.007737857678238864
24,26,12,0.007746436964869637
24,26,13,0.007966529185739478
24,26,14,0.008119710723783561
24,26,15,0.008137345321634694
24,26,16,0.00805630068737078
24,26,17,0.007806330426094996
24,26,18,0.00745568218965223
24,26,19,0.007239859802110896
24,26,20,0.00679583355233308
24,26,21,0.006428598621330037
24,26,22,0.006065821460496136
24,26,23,0.005685364776221937
24,26,24,0.005304915107760869
24,27,1,0.003483358555593109
24,27,2,0.003466707424881742
24,27,3,0.003359104043738721
24,27,4,0.003243261812249052
24,27,5,0.003253102479375884
24,27,6,0.003441653711383343
24,27,7,0.003864034171588599
24,27,8,0.004394499541261219
24,27,9,0.004874841280031151
24,27,10,0.005081655851752268
24,27,11,0.005521626968941815
24,27,12,0.005793813687353462
24,27,13,0.006050129408531679
24,27,14,0.005959560433687299
24,27,15,0.006151774959022274
24,27,16,0.006081518171390085
24,27,17,0.006029764209111489
24,27,18,0.00586102118376818
24,27,19,0.00590951605365415
24,27,20,0.005263766082683419
24,27,21,0.004898298326778164
24,27,22,0.004914945291316807
24,27,23,0.004519336977599347
24,27,24,0.004142084653214275
26,28,1,0.004262144406233213
26,28,2,0.004262144367358483
26,28,3,0.004156468661884053
26,28,4,0.004086018291271556
26,28,5,0.004103644333061792
26,28,6,0.004262162100293985
26,28,7,0.004596814876141615
26,28,8,0.005072382225113065
26,28,9,0.005547959114483778
26,28,10,0.005900249144069902
26,28,11,0.006111631154798371
26,28,12,0.006287784941133572
26,28,13,0.006428702020221985
26,28,14,0.006534392675739049
26,28,15,0.006552007469059668
26,28,16,0.006534386410094258
26,28,17,0.0064110780665915
26,28,18,0.006234923141878236
26,28,19,0.006023540400915285
26,28,20,0.005759319145291457
26,28,21,0.005459875346411608
26,28,22,0.005213276082176581
26,28,23,0.00494907058883245
26,28,24,0.004684871652585351
27,29,1,0.002846269431322403
27,29,2,0.00283179412175587
27,29,3,0.002720311385640001
27,29,4,0.002586783724532104
27,29,5,0.002526143254740873
27,29,6,0.002591447355616006
27,29,7,0.00283784366629146
27,29,8,0.003174758538859176
27,29,9,0.003461519098484596
27,29,10,0.003527472393070297
27,29,11,0.003861941619696964
27,29,12,0.004081401206468475
27,29,13,0.004302600492401559
27,29,14,0.004211988007894715
27,29,15,0.004457155868900697
27,29,16,0.004474967077649546
27,29,17,0.004564150324387855
27,29,18,0.004571529640619727
27,29,19,0.004778627872020555
27,29,20,0.004273535046626135
27,29,21,0.004013611888789464
27,29,22,0.004118370122040123
27,29,23,0.003775427522221577
27,29,24,0.003450845204313143
28,30,1,0.00227197124131414
28,30,2,0.002271971241466224
28,30,3,0.002219132510571971
28,30,4,0.002166295360484008
28,30,5,0.002166295361095625
28,30,6,0.002236745916495365
28,30,7,0.002412872876271589
28,30,8,0.00265945416219994
28,30,9,0.00290603738380222
28,30,10,0.003029331791949933
28,30,11,0.003064560762747784
28,30,12,0.003082175116052069
28,30,13,0.003099786985601462
28,30,14,0.003135015450692071
28,30,15,0.003135018368850838
28,30,16,0.003152638177453
28,30,17,0.003152646342541385
28,30,18,0.003135040082807181
28,30,19,0.003082198783525896
28,30,20,0.002976513968612018
28,30,21,0.002835601326660366
28,30,22,0.002712301918827825
28,30,23,0.002589006371383358
28,30,24,0.002465715582461031
28,31,1,0.0004050734474674444
28,31,2,0.0004050734474674444
28,31,3,0.0003874615584471208
28,31,4,0.0004050734474674444
28,31,5,0.0004402972255080918
28,31,6,0.0005283566706097101
28,31,7,0.0006868636717926233
28,31,8,0.0008982063400365072
28,31,9,0.001109549008280391
28,31,10,0.001320891676524275
28,31,11,0.001479398677707188
28,31,12,0.001620293789869778
28,31,13,0.001708353234971396
28,31,14,0.001761188902032367
28,31,15,0.001761188902032367
28,31,16,0.001690741345951072
28,31,17,0.001549846233788483
28,31,18,0.001356115454564923
28,31,19,0.001179996564361686
28,31,20,0.001021489563178773
28,31,21,0.0008805944510161836
28,31,22,0.0007749231168942415
28,31,23,0.0006692517827722995
28,31,24,0.0005635804486503575
29,32,1,0.001584759233395151
29,32,2,0.001577722528153531
29,32,3,0.001453175665083319
29,32,4,0.001354691235212535
29,32,5,0.001293938968506638
29,32,6,0.001288785881347159
29,32,7,0.00137683705909661
29,32,8,0.001537927029020336
29,32,9,0.001719343044543098
29,32,10,0.001750127454518245
29,32,11,0.002085188446010823
29,32,12,0.002305028509818958
29,32,13,0.002526605045965851
29,32,14,0.002435839055289259
29,32,15,0.002716703102562092
29,32,16,0.002805108662203763
29,32,17,0.002965001702427407
29,32,18,0.003042955257720595
29,32,19,0.003303307096017684
29,32,20,0.002815035450906681
29,32,21,0.00257231976235507
29,32,22,0.002694896103831649
29,32,23,0.002386657577355356
29,32,24,0.002114441499865852
30,33,1,0.0008453706729755362
30,33,2,0.0008453706729755362
30,33,3,0.0008101468949348889
30,33,4,0.0007925350059145651
30,33,5,0.0007925350059145651
30,33,6,0.0008277587839552124
30,33,7,0.0009158182290568309
30,33,8,0.00105671334121942
30,33,9,0.00119760845338201
30,33,10,0.001285667898483628
30,33,11,0.001320891676524275
30,33,12,0.001338503565544599
30,33,13,0.001338503565544599
30,33,14,0.001373727343585247
30,33,15,0.00139133923260557
30,33,16,0.001444174899666541
30,33,17,0.001497010566727512
30,33,18,0.001532234344768159
30,33,19,0.001497010566727512
30,33,20,0.001408951121625893
30,33,21,0.001285667898483628
30,33,22,0.001162384675341362
30,33,23,0.00105671334121942
30,33,24,0.0009862657851381258
32,34,1,0.000729059253829147
32,34,2,0.0007286986682072693
32,34,3,0.0006278072396857503
32,34,4,0.0005468037941759468
32,34,5,0.0004859529230682164
32,34,6,0.0004455101792078102
32,34,7,0.0004455018122432364
32,34,8,0.0004657297563400298
32,34,9,0.0005063165077695848
32,34,10,0.0004489481500624565
32,34,11,0.0007492699012497475
32,34,12,0.000951819487626097
32,34,13,0.001173743156077614
32,34,14,0.001047556947400051
32,34,15,0.001311218170578271
32,34,16,0.001346843075796226
32,34,17,0.00145406399697286
32,34,18,0.001496858728092342
32,34,19,0.00179287893188818
32,34,20,0.001392062565138747
32,34,21,0.001272446262739593
32,34,22,0.001518682993564568
32,34,23,0.001315806238818144
32,34,24,0.001113724556030111
