index0,index1,index2,Block_Dispatch_d.val
1,1,1,0.01399999989833072
1,1,2,0.01399999989697058
1,1,3,0.01399999990579592
1,1,4,0.01399999990623136
1,1,5,0.01399999989849387
1,1,6,0.01399999990602448
1,1,7,0.01399999990599642
1,1,8,0.01399999990348956
1,1,9,0.01399999992249639
1,1,10,0.01399999992208042
1,1,11,0.01399999991542572
1,1,12,0.01399999991278627
1,1,13,0.01399999991651871
1,1,14,0.01399999992321639
1,1,15,0.01399999991573059
1,1,16,0.01399999992612759
1,1,17,0.01399999991651688
1,1,18,0.01399999991766372
1,1,19,0.0139999999146817
1,1,20,0.01399999991703903
1,1,21,0.01399999992234107
1,1,22,0.01399999991016464
1,1,23,0.01399999990495211
1,1,24,0.01399999990701648
1,2,1,0.01399999985996739
1,2,2,0.01399999985627085
1,2,3,0.01399999987206025
1,2,4,0.01399999987264827
1,2,5,0.01399999986038867
1,2,6,0.01399999987357599
1,2,7,0.01399999987310003
1,2,8,0.0139999998668792
1,2,9,0.01399999989976169
1,2,10,0.01399999990084168
1,2,11,0.01399999989090596
1,2,12,0.013999999887742
1,2,13,0.01399999989121767
1,2,14,0.01399999990164922
1,2,15,0.01399999989059305
1,2,16,0.01399999990515067
1,2,17,0.0139999998904769
1,2,18,0.01399999989626453
1,2,19,0.01399999989130384
1,2,20,0.01399999989484513
1,2,21,0.01399999990033064
1,2,22,0.01399999988002047
1,2,23,0.01399999986995573
1,2,24,0.01399999987359364
1,3,1,0.01399999977879238
1,3,2,0.01399999977149271
1,3,3,0.01399999980376791
1,3,4,0.01399999980611891
1,3,5,0.01399999978097406
1,3,6,0.013999999810393
1,3,7,0.01399999980856443
1,3,8,0.01399999979330804
1,3,9,0.01399999986069886
1,3,10,0.0139999998654997
1,3,11,0.01399999985118064
1,3,12,0.0139999998460807
1,3,13,0.01399999984639111
1,3,14,0.0139999998646535
1,3,15,0.01399999984634142
1,3,16,0.01399999986895526
1,3,17,0.013999999845109
1,3,18,0.01399999985942244
1,3,19,0.01399999985097626
1,3,20,0.01399999985638507
