index0,index1,Footprint_trans.val
1,1,54.37200000000001
1,2,27.18600000000618
1,3,27.18600000000618
1,4,27.18600000000618
1,5,38.49799847510759
1,6,54.37200000001224
1,7,54.37200000001236
1,8,54.37200000000001
1,9,57.46498287667468
1,10,54.37200000000001
1,11,81.558
1,12,81.55800000001855
1,13,81.55800000001845
1,14,81.55800000001855
1,15,81.55800000001831
1,16,81.55800000001831
1,17,81.55800000001855
1,18,81.55800000001831
1,19,81.55800000001845
1,20,81.558
1,21,70.81216073281476
1,22,54.37200000001246
1,23,48.62269691175647
1,24,27.18600000000618
2,1,65.57999999999005
2,2,65.58
2,3,78.69792239510026
2,4,65.9992777736778
2,5,98.36999999998508
2,6,98.36999999998508
2,7,98.37000000003479
2,8,98.36999999998508
2,9,98.36999999998508
2,10,98.36999999998508
2,11,98.36999999998508
2,12,98.36999999998493
2,13,109.517344706914
2,14,98.36999999998508
2,15,122.5373887144686
2,16,98.36999999998508
2,17,106.9969940544892
2,18,98.36999999998508
2,19,98.37
2,20,98.36999999998508
2,21,98.36999999998508
2,22,98.36999999998508
2,23,98.36999999998508
2,24,87.2937284765493
3,1,0.0
3,2,18.07740000003961
3,3,18.07740000003961
3,4,18.07740000003961
3,5,18.07740000000224
3,6,18.07740000000224
3,7,18.07740000000224
3,8,18.07740000000224
3,9,18.07740000000224
3,10,18.07740000000224
3,11,25.71625083136429
3,12,20.8076151920554
3,13,36.15480000004185
3,14,36.15480000004185
3,15,36.15480000004185
3,16,36.15480000004185
3,17,36.15480000004185
3,18,36.15480000004185
3,19,24.4179432739392
3,20,18.07740000000224
3,21,18.07740000000224
3,22,18.07740000003961
3,23,18.07740000003961
3,24,18.07740000003961
4,1,0.0
4,2,8.186000000001862
4,3,8.186000000001862
4,4,8.186000000001862
4,5,8.186000000001862
4,6,8.186000000001862
4,7,8.186
4,8,16.372
4,9,16.37200000000372
4,10,16.3720000000037
4,11,16.37200000000372
4,12,16.37200000000372
4,13,16.372
4,14,16.37200000000372
4,15,16.372
4,16,16.372
4,17,16.372
4,18,16.372
4,19,16.37200000000372
4,20,16.3720000000037
4,21,8.186000099528734
4,22,8.186000000001862
4,23,8.186000000001862
4,24,8.186000000001862
5,1,8.4029048537246
5,2,12.48000000000637
5,3,12.48000001646636
5,4,12.48000000000638
5,5,12.48000000000638
5,6,12.48000000000638
5,7,18.72000000000956
5,8,18.72000000506788
5,9,18.72000001966941
5,10,18.72000000000956
5,11,18.72000011299562
5,12,18.7200001189176
5,13,24.96000000001277
5,14,24.96000000001275
5,15,24.96000000001277
5,16,24.96000000001277
5,17,24.96000000001277
5,18,24.96000000001277
5,19,18.72000009597038
5,20,18.72000005004406
5,21,18.72000000000958
5,22,12.48000000000638
5,23,12.48000000000635
5,24,12.48000001585685
