index0,index1,Dist_SOC.val
1,1,0.04000000399544758
1,2,0.04999999847110433
1,3,0.04476722151085174
1,4,0.0399999971975279
1,5,0.04999999287762227
1,6,0.04100597076998898
1,7,0.04728041505816612
1,8,0.05
1,9,0.04619932454516334
1,10,0.04999989931389456
1,11,0.03999990352546214
1,12,0.02999990899403084
1,13,0.01999991519380213
1,14,0.02999957087711008
1,15,0.01999957595986777
1,16,0.0299992236092094
1,17,0.01999922955468359
1,18,0.02999875649978537
1,19,0.0199987622525593
1,20,0.02999844045762079
1,21,0.02000000299102579
1,22,0.03000000208648102
1,23,0.04000000141491808
1,24,0.05
2,1,0.04000004534447155
2,2,0.04999999693250194
2,3,0.04454737120303848
2,4,0.0399999950934552
2,5,0.0499999911879555
2,6,0.04999993835861474
2,7,0.04999997982184642
2,8,0.05
2,9,0.0499999914875472
2,10,0.04997202909511426
2,11,0.04999914198848443
2,12,0.04851393658627046
2,13,0.04431303601244872
2,14,0.03670363097874928
2,15,0.03019729839974308
2,16,0.02212945058228559
2,17,0.01764077097394632
2,18,0.01130854600428378
2,19,0.01190246689415222
2,20,0.01052280880391528
2,21,0.02000000299505764
2,22,0.03000000209692349
2,23,0.04000000132825465
2,24,0.05
