index0,index1,index2,P.val
29,32,18,-0.03372607618113212
29,32,19,-0.03318850188382786
29,32,20,-0.03419676858688109
29,32,21,-0.03469832744623919
29,32,22,-0.03444432033217783
29,32,23,-0.03508025538177889
29,32,24,-0.0356434644667105
30,33,1,0.001745472
30,33,2,0.001745472
30,33,3,0.001672744
30,33,4,0.00163638
30,33,5,0.00163638
30,33,6,0.001709108
30,33,7,0.001890928
30,33,8,0.00218184
30,33,9,0.002472752
30,33,10,0.002654572
30,33,11,0.0027273
30,33,12,0.002763664
30,33,13,0.002763664
30,33,14,0.002836392000000001
30,33,15,0.002872756
30,33,16,0.002981848
30,33,17,0.00309094
30,33,18,0.003163668
30,33,19,0.00309094
30,33,20,0.00290912
30,33,21,0.002654572
30,33,22,0.002400024
30,33,23,0.00218184
30,33,24,0.002036384
32,34,1,-0.03187832478904544
32,34,2,-0.01894834279642386
32,34,3,-0.0387036208389798
32,34,4,-0.03887089475125639
32,34,5,-0.03899634027150203
32,34,6,-0.03907999028745887
32,34,7,-0.03907999029972601
32,34,8,-0.03903817149490572
32,34,9,-0.03895454708238385
32,34,10,-0.03907271580341857
32,34,11,-0.03845292623247894
32,34,12,-0.03803470391914095
32,34,13,-0.03757649055233776
32,34,14,-0.03783633423389837
32,34,15,-0.03729265131084511
32,34,16,-0.0372181472985107
32,34,17,-0.03699770779596382
32,34,18,-0.0369090521877451
32,34,19,-0.03629813069461715
32,34,20,-0.03712541884936195
32,34,21,-0.03737268586366686
32,34,22,-0.03686360544096953
32,34,23,-0.03728178759580631
32,34,24,-0.03769997690558453
