index0,index1,Dist_P_ESS.val
1,1,0.00999999600455242
1,2,-0.009999994466475409
1,3,0.005232776963313042
1,4,0.004767224316384294
1,5,-0.009999995677033921
1,6,0.008994022110693752
1,7,-0.0062744442851167
1,8,-0.002719584348372698
1,9,0.003800674867496629
1,10,-0.003800574765672535
1,11,0.009999995791492812
1,12,0.0099999945344916
1,13,0.009999993803289224
1,14,-0.009999655680247518
1,15,0.009999994920302494
1,16,-0.009999647646281038
1,17,0.009999994057586304
1,18,-0.009999526942041315
1,19,0.009999994250286458
1,20,-0.009999678202000999
1,21,0.009998437469655402
1,22,-0.00999999909239479
1,23,-0.009999999331497499
1,24,-0.009999998585081925
2,1,0.009999954655528451
2,2,-0.009999951578849052
2,3,0.005452625732523909
2,4,0.004547376112643718
2,5,-0.009999996091439839
2,6,5.283240120911026e-08
2,7,-4.146017124756485e-08
2,8,-1.944721861844856e-08
2,9,7.78763788178427e-09
2,10,2.796239549250623e-05
2,11,-2.711289030907921e-05
2,12,0.001485205405274427
2,13,0.004200900576882188
2,14,0.007609405036759857
2,15,0.006506332582066747
2,16,0.008067847820517908
2,17,0.004488679611399739
2,18,0.006332224972722971
2,19,-0.000593920886807979
2,20,0.001379658093297384
2,21,-0.009477194188081912
2,22,-0.009999999098805409
2,23,-0.009999999234391606
2,24,-0.009999998671745346
