index0,index1,Carbon_T.val
1,1,10.54915394614939
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,34.3842720888501
1,10,0.0
1,11,25.64552301112647
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,25.89919381865737
2,1,0.0
2,2,0.0
2,3,0.0
2,4,34.93327371145334
2,5,0.0
2,6,0.0
2,7,22.9698377740133
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,29.32100478709287
2,19,25.8888803930463
2,20,0.0
2,21,0.0
2,22,0.0
2,23,12.45068245117368
2,24,0.0
3,1,0.0
3,2,0.0
3,3,32.17958973653391
3,4,0.0
3,5,18.92073200637834
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,12.61663579995464
3,23,0.0
3,24,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,18.65691068517739
4,7,0.0
4,8,31.25887152128318
4,9,0.0
4,10,31.07905057035758
4,11,0.0
4,12,25.36503675568645
4,13,31.00774576316982
4,14,0.0
4,15,0.0
4,16,30.13961881104948
4,17,31.70933488332236
4,18,0.0
4,19,0.0
4,20,0.0
4,21,20.81945682321518
4,22,0.0
4,23,0.0
4,24,0.0
5,1,0.0
5,2,26.57899655551171
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,28.65481066660506
5,15,28.18269930861101
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,21.92824610167456
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
