index0,index1,Q_thermal_dist.val
1,1,0.006110061943283178
1,2,0.005539862770038279
1,3,0.006039682235098334
1,4,0.005977073996186507
1,5,0.005679445107955449
1,6,0.006328935783951148
1,7,0.006790863994672786
1,8,0.007440635413432288
1,9,0.008260037892718404
1,10,0.008372134973541641
1,11,0.00862579748868277
1,12,0.008856978587358556
1,13,0.009022818363790245
1,14,0.008662437657814591
1,15,0.009163799287595002
1,16,0.008661330048492245
1,17,0.008879394102481558
1,18,0.00860311414219151
1,19,0.00829220930356007
1,20,0.007962012382633546
1,21,0.007734073661101254
1,22,0.007141113679222814
1,23,0.006569663561611826
1,24,0.006552538573904642
2,1,0.0120615706267209
2,2,0.01414488222874227
2,3,0.01158902555142322
2,4,0.01116287036610801
2,5,0.01236154703533769
2,6,0.01154552170837264
2,7,0.01378218212843289
2,8,0.01594456830134415
2,9,0.009242568521975438
2,10,0.01872595572839362
2,11,0.003832121845862149
2,12,0.003956340217722677
2,13,0.00509166487047684
2,14,0.02139912903787651
2,15,0.005692472767200375
2,16,0.02149799983526797
2,17,0.005327050769508511
2,18,0.02077464488238554
2,19,0.003997047577317248
2,20,0.01887509444679742
2,21,0.009195996987267646
2,22,0.01816442853227121
2,23,0.01742175832960905
2,24,0.01530223606177762
3,1,0.01244287477804278
3,2,0.01010651374076425
3,3,0.01228797015194636
3,4,0.0121389228750953
3,5,0.01079130544193072
3,6,0.01270058222293457
3,7,0.01261900483598967
3,8,0.01334245208206983
3,9,0.02122085511554405
3,10,0.01438732591173958
3,11,0.02893563154551571
3,12,0.02917417293331679
3,13,0.02907095037899861
3,14,0.01456349439480758
3,15,0.02929198497400779
3,16,0.01467654664945092
3,17,0.02909037362240686
3,18,0.01422728820321174
3,19,0.02889740971227996
3,20,0.01365502418921325
3,21,0.02083768001965916
3,22,0.01264834875507253
3,23,0.01168255412543057
3,24,0.01205294963346362
4,1,0.004484584487258877
4,2,0.004113245304524281
4,3,0.00441534172519674
4,4,0.004354625792832995
4,5,0.004209909534726742
4,6,0.004708437231999606
4,7,0.005076213510131609
4,8,0.005568793194132463
4,9,0.006309444844149663
4,10,0.006345122812957639
4,11,0.006386327872239953
4,12,0.006563508828632578
4,13,0.006707768062284332
4,14,0.006343027797693249
4,15,0.006882383491226907
4,16,0.006321747953852967
4,17,0.006717284630546596
4,18,0.006334791403193513
4,19,0.006276945944293526
4,20,0.005950872687166913
4,21,0.00543910629028384
4,22,0.005270966504414195
4,23,0.004889788583746063
4,24,0.004776983152061863
5,1,7.277954383905991e-08
5,2,4.33352611276277e-07
5,3,5.636396112386878e-08
5,4,4.511611648442009e-08
5,5,1.350334411218131e-07
5,6,7.030282965676815e-08
5,7,7.874224162517178e-08
5,8,1.044657239632192e-07
5,9,1.961957893007319e-08
5,10,1.56390716880199e-07
5,11,1.233477257231822e-08
5,12,1.721794941279497e-08
5,13,1.646074988837366e-08
5,14,3.545214985150973e-07
5,15,1.127563654479282e-08
5,16,4.700998549199333e-07
5,17,1.325856329993019e-08
5,18,1.553971122120528e-07
5,19,1.845290959312468e-08
5,20,1.606073839518433e-07
5,21,2.023227708236489e-08
5,22,3.420621215181798e-07
5,23,6.822682069317522e-07
5,24,2.271453534622278e-07
