index0,index1,GenCosts_trans.val
1,1,47.07000000001069
1,2,21.80500000000496
1,3,21.80500000000496
1,4,21.80500000000496
1,5,32.31767716742337
1,6,47.07000000001069
1,7,47.07000000001069
1,8,47.07000000001069
1,9,50.33807669875731
1,10,47.07000000001069
1,11,75.79500000001723
1,12,75.79500000001723
1,13,75.79500000001723
1,14,75.79500000001723
1,15,75.79500000001723
1,16,75.79500000001723
1,17,75.79500000001723
1,18,75.79500000001723
1,19,75.79500000001723
1,20,75.79500000001723
1,21,64.44083855845065
1,22,47.07000000001069
1,23,41.72695054349686
1,24,21.80500000000496
2,1,54.8078999999917
2,2,54.8078999999917
2,3,70.25374354548393
2,4,55.30158327539338
2,5,93.41684999998584
2,6,93.41684999998584
2,7,93.41684999998584
2,8,93.41684999998584
2,9,93.41684999998584
2,10,93.41684999998584
2,11,93.41684999998584
2,12,93.41684999998563
2,13,109.0819289686757
2,14,93.41684999998584
2,15,127.3786644618721
2,16,93.41684999998584
2,17,105.540144531483
2,18,93.41684999998584
2,19,93.4168500000068
2,20,93.41684999998584
2,21,93.41684999998584
2,22,93.41684999998584
2,23,93.41684999998584
2,24,80.37497096873376
3,1,0.0
3,2,28.15399400006169
3,3,28.15399400006169
3,4,28.15399400006169
3,5,28.15399400000349
3,6,28.15399400000349
3,7,28.15399400000349
3,8,28.15399400000349
3,9,28.15399400000349
3,10,28.15399400000349
3,11,42.47441759693978
3,12,33.27228193677954
3,13,62.04338800007775
3,14,62.04338800007775
3,15,62.04338800007775
3,16,62.04338800007775
3,17,62.04338800007775
3,18,62.04338800007775
3,19,40.04050252360199
3,20,28.15399400000349
3,21,28.15399400000349
3,22,28.15399400006169
3,23,28.15399400006169
3,24,28.15399400006169
4,1,0.0
4,2,25.52896000000581
4,3,25.52896000000581
4,4,25.52896000000581
4,5,25.52896000000581
4,6,25.52896000000581
4,7,25.52896000000581
4,8,54.99792000001251
4,9,54.99792000001251
4,10,54.99792000001251
4,11,54.99792000001251
4,12,54.99792000001251
4,13,54.99792000001251
4,14,54.99792000001251
4,15,54.99792000001251
4,16,54.99792000001251
4,17,54.99792000001251
4,18,54.99792000001251
4,19,54.99792000001251
4,20,54.99792000001251
4,21,25.52896035829476
4,22,25.52896000000581
4,23,25.52896000000581
4,24,25.52896000000581
5,1,25.1849664843266
5,2,38.5040000000197
5,3,38.5040000000197
5,4,38.5040000000197
5,5,38.5040000000197
5,6,38.5040000000197
5,7,61.15440000003129
5,8,61.15440000003129
5,9,61.15440000003129
5,10,61.15440000003129
5,11,61.15440045117877
5,12,61.15440047482491
5,13,86.07040000004403
5,14,86.07040000004403
5,15,86.07040000004403
5,16,86.07040000004403
5,17,86.07040000004403
5,18,86.07040000004403
5,19,61.15440038319787
5,20,61.15440000003129
5,21,61.15440000003129
5,22,38.5040000000197
5,23,38.5040000000197
5,24,38.5040000000197
