parameter,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0,25,26,27,28,29,30,31,32,33,34
Average_CarbonPrice,value,0.01389263157978251,0.03064918154757097,0.1572268647477417,0.03064918154763219,0.08905369883596537,0.0,0.03915578947340869,0.03915578947342414,0.03915578947418527,0.0391557894734711,0.01644673792855755,0.03896919156810048,0.0,0.01644673792848028,0.06441894736854928,0.03027738264583713,0.03027738264580382,0.01644673792856954,0.03896919156819776,0.124832353244543,0.03915578947359721,0.1572268647476809,0.1572268647476436,0.1830512091038198,,,,,,,,,,,
Average_CarbonSE,value,15.32426346282751,15.02450008746255,12.50751214815315,22.83770672807978,20.82741078855937,17.14509558069285,22.96982068599043,19.29290972920658,17.53217574711364,13.69640993755321,19.49609065433796,13.86221056439307,14.33507890451457,8.154009372761806,19.56008399613086,10.46733813583449,15.14682480062702,12.85285047541808,16.19186403999195,27.79720998337598,16.69321517222657,12.61663579999273,14.91312099784166,29.36278077749643,,,,,,,,,,,
Average_DSO_Carbon_Emission,value,,,,,,,,,,,,,,,,,,,,,,,,,256.85614998476274,,,,,,,,,,
Average_DSO_Carbon_Market,value,,,,,,,,,,,,,,,,,,,,,,,,,-25.77205665119294,,,,,,,,,,
Average_DSO_Energy_Market,value,,,,,,,,,,,,,,,,,,,,,,,,,1266.6190626734224,,,,,,,,,,
Average_EnergyPrice,value,256.4268508212757,260.9822864955436,295.3936954503188,260.9822864955354,276.8601385655437,283.1300000000005,297.8948929262622,297.8948929262701,297.8948929263558,297.8948929262809,310.7882569111787,314.4895969422978,311.45,310.7882569111595,339.3629350316117,313.8116358463758,313.8116358463728,310.78825691118,314.4895969423179,321.1869235530758,297.8948929263099,295.3936954503259,295.3936954502954,297.4079943100979,,,,,,,,,,,
Average_GenCosts_dist,value,,,,,,,,,,,,,,,,,,,,,,,,,1281.6308572824726,,,,,,,,,,
Average_GenCosts_trans,value,,,,,,,,,,,,,,,,,,,,,,,,,6224.1995365709745,,,,,,,,,,
Average_Generation_dist,value,1.5085093931371911,1.3022647089918171,1.017551767420833,1.7999979937000905,0.8999941338423179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average_Generation_trans,value,5.859471387611764,11.127536000608755,3.0916497720394114,3.311546489393633,5.155664988479988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average_ISO_Carbon_Emission,value,,,,,,,,,,,,,,,,,,,,,,,,,5206.7420494293965,,,,,,,,,,
Average_ISO_Carbon_Market,value,,,,,,,,,,,,,,,,,,,,,,,,,25.77205665119294,,,,,,,,,,
Average_ISO_Energy_Market,value,,,,,,,,,,,,,,,,,,,,,,,,,-1266.6190626734224,,,,,,,,,,
Average_PDSO,value,-0.1836412567507927,-0.1482168516344667,-0.1123998145614771,-0.1936029607242705,-0.1972388852108812,-0.1876677359050044,-0.1886699360384645,-0.2107435879664225,-0.2096349323466169,-0.1897689394984466,-0.1923644029953919,-0.1385327132634555,-0.1729478001987444,-0.1472090404650677,-0.1687599851086444,-0.1505325769655582,-0.1848334384981375,-0.175637484559174,-0.1516919580233432,-0.2107181131699176,-0.196459121373171,-0.171779869969461,-0.167445731248247,-0.1924335336979469,,,,,,,,,,,
Average_Renewable_dist,value,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average_Renewable_trans,value,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon_Cost_d,value,33.19,41.17,35.94,44.690000000000005,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon_Cost_t,value,271.86,218.6,164.34,81.86,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon_Limit_Dist,value,11.471296853235556,11.471296853235556,11.172370550871111,10.941948192798518,10.991769243192596,11.55848369142519,12.729278375685928,14.255048044004448,15.63758219244,16.671368988117038,17.368863693634083,17.97917156096148,18.489837327500737,18.931999149748155,19.04409651313482,18.956909674945184,18.552113640493342,17.929350510567406,17.157124229459264,16.32884926665778,15.42584272826519,14.58511250286519,13.72569938356741,12.872513895568897,,,,,,,,,,,
Carbon_Limit_Trans,value,138.90405880000003,158.0883965555556,176.80691214814817,166.8619514851852,194.53213048148152,210.1423106851852,220.6952377740741,237.17027162592595,243.38865498518524,236.9904505703704,266.38177395555556,261.19265206666665,299.56989048518517,286.06961066666673,309.7648880444445,287.55441881111113,297.75112895185197,286.73580486296294,265.326823762963,255.02564615185184,234.98501765555557,204.10203580000004,198.18677936296302,179.12232231111116,,,,,,,,,,,
Dist_Inst_Cap,value,0.0,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364,0.36364
Dist_Load,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Dist_Load,2,0.000836372,0.000836372,0.0008000080000000001,0.000836372,0.0009091,0.00109092,0.0014181960000000003,0.0018545640000000002,0.0022909320000000003,0.0027273,0.003054576,0.003345488,0.0035273080000000003,0.0036364,0.0036364,0.003490944,0.0032000320000000002,0.002800028,0.0024363880000000003,0.002109112,0.0018182,0.0016000160000000001,0.0013818320000000002,0.001163648,,,,,,,,,,,
Dist_Load,3,0.0013091040000000002,0.0013091040000000002,0.0013091040000000002,0.0013454679999999998,0.0014909239999999998,0.001745472,0.002109112,0.002509116,0.00290912,0.0032000320000000002,0.003418216,0.0035273080000000003,0.0036000360000000005,0.0036000360000000005,0.003490944,0.0033091240000000005,0.003018212,0.002654572,0.002327296,0.0020363840000000005,0.0018182,0.00163638,0.001527288,0.0014181960000000003,,,,,,,,,,,
Dist_Load,4,0.00327276,0.00327276,0.0032000320000000002,0.003127304,0.0030909400000000004,0.0030909400000000004,0.0030909400000000004,0.003127304,0.003163668,0.0032000320000000002,0.0032363960000000003,0.00327276,0.003345488,0.0033818520000000003,0.003418216,0.003490944,0.0035273080000000003,0.0036000360000000005,0.0036364,0.0036364,0.0036000360000000005,0.003563672,0.003490944,0.003418216,,,,,,,,,,,
Dist_Load,5,0.002581844,0.002581844,0.002581844,0.002509116,0.002509116,0.002654572,0.0029818479999999996,0.003345488,0.003563672,0.0036364,0.0036364,0.0036364,0.0036364,0.0036364,0.003563672,0.003418216,0.00327276,0.003127304,0.003018212,0.0029818479999999996,0.0029454840000000004,0.00290912,0.0028363920000000005,0.0027273,,,,,,,,,,,
Dist_Load,6,0.0029454840000000004,0.0029454840000000004,0.00290912,0.0028363920000000005,0.0028363920000000005,0.00290912,0.0030909400000000004,0.0033091240000000005,0.0035273080000000003,0.0036000360000000005,0.0036000360000000005,0.0036000360000000005,0.0036364,0.0036364,0.0036000360000000005,0.0035273080000000003,0.003418216,0.0033091240000000005,0.00327276,0.0032363960000000003,0.0032000320000000002,0.0032000320000000002,0.003163668,0.003054576,,,,,,,,,,,
Dist_Load,7,0.000836372,0.000836372,0.0008000080000000001,0.000836372,0.0009091,0.00109092,0.0014181960000000003,0.0018545640000000002,0.0022909320000000003,0.0027273,0.003054576,0.003345488,0.0035273080000000003,0.0036364,0.0036364,0.003490944,0.0032000320000000002,0.002800028,0.0024363880000000003,0.002109112,0.0018182,0.0016000160000000001,0.0013818320000000002,0.001163648,,,,,,,,,,,
Dist_Load,8,0.001745472,0.001745472,0.001672744,0.00163638,0.00163638,0.001709108,0.001890928,0.00218184,0.0024727520000000004,0.002654572,0.0027273,0.0027636640000000003,0.0027636640000000003,0.0028363920000000005,0.002872756,0.0029818479999999996,0.0030909400000000004,0.003163668,0.0030909400000000004,0.00290912,0.002654572,0.002400024,0.00218184,0.0020363840000000005,,,,,,,,,,,
Dist_Load,9,0.001745472,0.001745472,0.001672744,0.00163638,0.00163638,0.001709108,0.001890928,0.00218184,0.0024727520000000004,0.002654572,0.0027273,0.0027636640000000003,0.0027636640000000003,0.0028363920000000005,0.002872756,0.0029818479999999996,0.0030909400000000004,0.003163668,0.0030909400000000004,0.00290912,0.002654572,0.002400024,0.00218184,0.0020363840000000005,,,,,,,,,,,
