index0,index1,Footprint_dist.val
1,1,1.858640018101776
1,2,1.858640009585504
1,3,1.85864041008016
1,4,1.858640429131254
1,5,1.858640039201314
1,6,2.136695580678978
1,7,2.266015762440487
1,8,2.323298570754853
1,9,2.3232999688777
1,10,2.323299967248375
1,11,2.3232999608928
1,12,2.323299953340725
1,13,2.323299949300024
1,14,2.323299965323496
1,15,2.323299965859413
1,16,2.32329996925528
1,17,2.323299957742945
1,18,2.323299969426862
1,19,2.323299960063506
1,20,2.323299965682487
1,21,2.323299973792803
1,22,2.323299892174784
1,23,1.85864013018687
1,24,2.323299683663976
2,1,2.264349938866603
2,2,2.264349939205477
2,3,2.264349929843063
2,4,2.264349943385233
2,5,2.264349942672366
2,6,2.264349957625358
2,7,2.264349957005747
2,8,2.264349937725635
2,9,2.264349972257279
2,10,2.264349974643937
2,11,2.26434997136225
2,12,2.264349970973107
2,13,2.264349968977347
2,14,2.264349973146721
2,15,2.26434997002003
2,16,2.264349972955976
2,17,2.264349968453322
2,18,2.264349975411832
2,19,2.264349972579302
2,20,2.264349974375292
2,21,2.264349973314038
2,22,2.264349962753191
2,23,2.264349934064103
2,24,2.264349959518976
3,1,1.401659986256242
3,2,1.401658966015024
3,3,1.401660193393826
3,4,1.401660187910425
3,5,1.401659970292724
3,6,1.423469352439608
3,7,1.401660560339806
3,8,1.401660985260701
3,9,2.336099237603177
3,10,1.868890005802371
3,11,2.336099849837845
3,12,2.336099789338007
3,13,2.336099793181818
3,14,1.968643798560512
3,15,2.336099850122209
3,16,2.272798243489484
3,17,2.336099799922843
3,18,2.025910895781696
3,19,2.336099755249868
3,20,2.082309968047512
3,21,2.336099193232667
3,22,1.591855094480217
3,23,1.401659992356427
3,24,1.401661153106693
4,1,3.351749987337362
4,2,3.351749987609088
4,3,3.351749990189924
4,4,3.351749981141773
4,5,3.351749996283126
4,6,3.351749960722906
4,7,3.351749999606386
4,8,3.351749973235797
4,9,3.351749990976845
4,10,3.351749988499254
4,11,3.351749990430386
4,12,3.351749990080193
4,13,3.351750001125918
4,14,3.351749998639772
4,15,3.351749989861349
4,16,3.351749992298194
4,17,3.351749988387804
4,18,3.351749991695647
4,19,3.351749991008002
4,20,3.351749989614134
4,21,3.351749989474157
4,22,3.351749988125099
4,23,3.35174998820826
4,24,3.351749986821666
5,1,1.341360844159125
5,2,0.8218341666663814
5,3,1.607199877037244
5,4,1.607199857114985
5,5,1.607199449319469
5,6,1.607199953673428
5,7,1.607199960003246
5,8,1.607199951434126
5,9,1.607200013913912
5,10,1.607200025461504
5,11,1.607200017621528
5,12,1.607200030409386
5,13,1.607200034932229
5,14,1.607200025792227
5,15,1.607200052214276
5,16,1.607200034836866
5,17,1.607200064285838
5,18,1.607199981239861
5,19,1.607200020593451
5,20,1.607199998196838
5,21,1.607200014936529
5,22,1.607199986830261
5,23,1.607199846671692
5,24,1.607199972801238
