Unnamed: 0,Node,a,b,P_max (MW),P_min (MW)
1,19,0.0401,1.85,7.0,0
2,24,0.05202,1.75,5.5,0
3,5,0.0302,2.2,6.5,0
4,15,0.0638,1.0,7.5,0
5,34,0.0456,2.0,10.0,0
